date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:10	112709/112709	---M--	200	added ('OK')	image/jpeg	etag:%22b2747e268ebda1:0%22	http://zinfotec.com/public/products/P-3%20Indoor.jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/P-3%20Indoor.jpg	(from http://zinfotec.com/indoor_fixed)
13:48:10	21144/21144	---M--	200	added ('OK')	image/jpeg	etag:%229737f9d89bbda1:0%22	http://zinfotec.com/public/products/LED-Van(3).jpg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/LED-Van(3).jpg	(from http://zinfotec.com/led_mobile)
13:48:11	18105/18105	---M--	200	added ('OK')	image/jpeg	etag:%22fab4eae79bbda1:0%22	http://zinfotec.com/public/products/LED-Van(4).jpg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/LED-Van(4).jpg	(from http://zinfotec.com/led_mobile)
13:48:13	33329/33329	---M--	200	added ('OK')	image/jpeg	etag:%22ad4fc9e9cbda1:0%22	http://zinfotec.com/public/products/LED-Van(5).jpg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/LED-Van(5).jpg	(from http://zinfotec.com/led_mobile)
13:48:14	27201/27201	---M--	200	added ('OK')	image/jpeg	etag:%2284102c2c9cbda1:0%22	http://zinfotec.com/public/products/LED-Van(6).jpg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/LED-Van(6).jpg	(from http://zinfotec.com/led_mobile)
13:48:16	26690/26690	---M--	200	added ('OK')	image/jpeg	etag:%222fff63d9cbda1:0%22	http://zinfotec.com/public/products/LED-Van(7).jpg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/LED-Van(7).jpg	(from http://zinfotec.com/led_mobile)
13:48:17	22548/22548	---M--	200	added ('OK')	image/jpeg	etag:%22879b39559cbda1:0%22	http://zinfotec.com/public/products/LED-Van(8).jpg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/LED-Van(8).jpg	(from http://zinfotec.com/led_mobile)
13:48:39	139575/139575	---M--	200	added ('OK')	image/jpeg	etag:%22b31010ed9cbda1:0%22	http://zinfotec.com/public/products/Glow%20Sign(11).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/Glow%20Sign(11).jpg	(from http://zinfotec.com/led_glow)
13:48:40	139726/139726	---M--	200	added ('OK')	image/jpeg	etag:%2233a66bf29cbda1:0%22	http://zinfotec.com/public/products/Glow%20Sign(12).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/Glow%20Sign(12).jpg	(from http://zinfotec.com/led_glow)
13:48:45	191803/191803	---M--	200	added ('OK')	image/jpeg	etag:%2231fdf9e19cbda1:0%22	http://zinfotec.com/public/products/Glow%20Sign(10).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/Glow%20Sign(10).jpg	(from http://zinfotec.com/led_glow)
13:48:50	60955/60955	---M--	200	added ('OK')	image/jpeg	etag:%22ea7fcf79cbda1:0%22	http://zinfotec.com/public/products/Glow%20Sign(13).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/Glow%20Sign(13).jpg	(from http://zinfotec.com/led_glow)
13:48:53	80011/80011	---M--	200	added ('OK')	image/jpeg	etag:%2289a136fc9cbda1:0%22	http://zinfotec.com/public/products/Glow%20Sign(14).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/Glow%20Sign(14).jpg	(from http://zinfotec.com/led_glow)
13:48:56	64895/64895	---M--	200	added ('OK')	image/jpeg	etag:%223d7491a99cbda1:0%22	http://zinfotec.com/public/products/Glow%20Sign(2).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/Glow%20Sign(2).jpg	(from http://zinfotec.com/led_glow)
13:49:06	100280/100280	---M--	200	added ('OK')	image/jpeg	etag:%22382598ad9cbda1:0%22	http://zinfotec.com/public/products/Glow%20Sign(3).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/Glow%20Sign(3).jpg	(from http://zinfotec.com/led_glow)
13:49:13	101224/101224	---M--	200	added ('OK')	image/jpeg	etag:%22b098d3bb9cbda1:0%22	http://zinfotec.com/public/products/Glow%20Sign(5).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/Glow%20Sign(5).jpg	(from http://zinfotec.com/led_glow)
13:49:17	63079/63079	---M--	200	added ('OK')	image/jpeg	etag:%22afa989c49cbda1:0%22	http://zinfotec.com/public/products/Glow%20Sign(6).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/Glow%20Sign(6).jpg	(from http://zinfotec.com/led_glow)
13:49:24	67229/67229	---M--	200	added ('OK')	image/jpeg	etag:%224f3a5c99cbda1:0%22	http://zinfotec.com/public/products/Glow%20Sign(7).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/Glow%20Sign(7).jpg	(from http://zinfotec.com/led_glow)
13:49:38	78899/78899	---M--	200	added ('OK')	image/jpeg	etag:%22f18f38dc9cbda1:0%22	http://zinfotec.com/public/products/Glow%20Sign(9).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/Glow%20Sign(9).jpg	(from http://zinfotec.com/led_glow)
13:49:46	39987/39987	---M--	200	added ('OK')	image/jpeg	etag:%2244a2aba49cbda1:0%22	http://zinfotec.com/public/products/Glow%20Sign.jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/Glow%20Sign.jpg	(from http://zinfotec.com/led_glow)
13:49:46	597605/597605	---M--	200	added ('OK')	image/jpeg	etag:%2211c14f989bda1:0%22	http://zinfotec.com/public/products/Single%20Color.jpg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/Single%20Color.jpg	(from http://zinfotec.com/single_color)
13:49:48	0/0	---M--	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:19:47%20GMT	http://zinfotec.com/public/mail.php	C:/xampp/htdocs/zinfotec/zinfotec.com/public/mail.99.delayed	(from http://zinfotec.com/contact)
13:49:49	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:19:48%20GMT	http://zinfotec.com/wishlist.html	C:/xampp/htdocs/zinfotec/zinfotec.com/wishlist.html	(from http://zinfotec.com/product)
13:49:50	15681/15681	---M--	200	added ('OK')	image/png	etag:%220b71b5b1a2ed81:0%22	http://zinfotec.com/public/assets/img/404.png	C:/xampp/htdocs/zinfotec/zinfotec.com/public/assets/img/404.png	(from http://zinfotec.com/contact.html)
13:49:51	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:19:50%20GMT	http://zinfotec.com/shop-details.html	C:/xampp/htdocs/zinfotec/zinfotec.com/shop-details.html	(from http://zinfotec.com/product)
13:49:53	387935/387935	---M--	200	added ('OK')	image/jpeg	etag:%22a556a6b69cbda1:0%22	http://zinfotec.com/public/products/Glow%20Sign(4).jpeg	C:/xampp/htdocs/zinfotec/zinfotec.com/public/products/Glow%20Sign(4).jpg	(from http://zinfotec.com/led_glow)
13:49:55	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:19:54%20GMT	http://zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/bootstrap.min.css	C:/xampp/htdocs/zinfotec/zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/bootstrap.min.html	(from http://zinfotec.com/i.ibb.co/7JfqXxB/night.png)
13:49:56	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:19:55%20GMT	http://zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/flaticon.css	C:/xampp/htdocs/zinfotec/zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/flaticon.html	(from http://zinfotec.com/i.ibb.co/7JfqXxB/night.png)
13:49:57	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:19:56%20GMT	http://zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/remixicon.css	C:/xampp/htdocs/zinfotec/zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/remixicon.html	(from http://zinfotec.com/i.ibb.co/7JfqXxB/night.png)
13:49:58	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:19:57%20GMT	http://zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/owl.carousel.min.css	C:/xampp/htdocs/zinfotec/zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/owl.carousel.min.html	(from http://zinfotec.com/i.ibb.co/7JfqXxB/night.png)
13:49:59	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:19:58%20GMT	http://zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/swiper-min.css	C:/xampp/htdocs/zinfotec/zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/swiper-min.html	(from http://zinfotec.com/i.ibb.co/7JfqXxB/night.png)
13:50:00	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:19:58%20GMT	http://zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/magnific-popup.min.css	C:/xampp/htdocs/zinfotec/zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/magnific-popup.min.html	(from http://zinfotec.com/i.ibb.co/7JfqXxB/night.png)
13:50:01	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:19:59%20GMT	http://zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/fancybox.css	C:/xampp/htdocs/zinfotec/zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/fancybox.html	(from http://zinfotec.com/i.ibb.co/7JfqXxB/night.png)
13:50:02	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:20:00%20GMT	http://zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/aos.css	C:/xampp/htdocs/zinfotec/zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/aos.html	(from http://zinfotec.com/i.ibb.co/7JfqXxB/night.png)
13:50:02	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:20:01%20GMT	http://zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/style.css	C:/xampp/htdocs/zinfotec/zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/style.html	(from http://zinfotec.com/i.ibb.co/7JfqXxB/night.png)
13:50:03	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:20:02%20GMT	http://zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/dark-theme.css	C:/xampp/htdocs/zinfotec/zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/dark-theme.html	(from http://zinfotec.com/i.ibb.co/7JfqXxB/night.png)
13:50:04	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:20:03%20GMT	http://zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/responsive.css	C:/xampp/htdocs/zinfotec/zinfotec.com/i.ibb.co/7JfqXxB/public/assets/css/responsive.html	(from http://zinfotec.com/i.ibb.co/7JfqXxB/night.png)
13:50:05	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:20:03%20GMT	http://zinfotec.com/i.ibb.co/7JfqXxB/public/assets/img/favicon.ico	C:/xampp/htdocs/zinfotec/zinfotec.com/i.ibb.co/7JfqXxB/public/assets/img/favicon.html	(from http://zinfotec.com/i.ibb.co/7JfqXxB/night.png)
13:50:06	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:20:04%20GMT	http://zinfotec.com/i.ibb.co/7JfqXxB/public/assets/js/jquery.min.js	C:/xampp/htdocs/zinfotec/zinfotec.com/i.ibb.co/7JfqXxB/public/assets/js/jquery.min.html	(from http://zinfotec.com/i.ibb.co/7JfqXxB/night.png)
13:50:07	18603/18603	---M-Z	200	added ('OK')	text/html	date:Tue,%2026%20Mar%202024%2008:20:05%20GMT	http://zinfotec.com/i.ibb.co/7JfqXxB/public/assets/img/logo.png	C:/xampp/htdocs/zinfotec/zinfotec.com/i.ibb.co/7JfqXxB/public/assets/img/logo.html	(from http://zinfotec.com/i.ibb.co/7JfqXxB/night.png)
